# JOMOPANS-ECHO bulker, speed=13.5 kn, length=211 m, range=1000 m
# TL = 20log10(range_m) + Thorp absorption(f_kHz) * range_km
frequency_hz,source_spectrum_db,transmission_loss_db,received_spectrum_db,decidecade_bandwidth_hz,source_band_level_db,received_band_level_db
50.4,167.244853,60.003007,107.241846,11.630683,177.900905,117.897898
201.6,151.631247,60.007606,91.623641,46.522731,168.307899,108.300293
1015.9,137.617299,60.126949,77.490350,234.436720,161.317555,101.190606
5120.0,123.373643,62.955917,60.417726,1181.529683,154.098089,91.142172
10240.0,117.324957,69.876265,47.448693,2363.059366,151.059703,81.183439
